City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country
santa maria,-29.68,-53.81,53.26,96,17,3.44,BR
la ronge,55.1,-105.28,66.2,48,20,5.82,CA
faya,18.39,42.45,69.8,56,46,3.24,SA
borba,-4.39,-59.59,79.5,66,11,2.77,BR
fortuna,40.6,-124.16,60.01,75,1,4.16,US
sao jose da coroa grande,-8.9,-35.15,72.79,82,12,9.42,BR
itoman,26.12,127.67,91.4,66,40,8.05,JP
cap-aux-meules,47.38,-61.86,68.0,77,75,2.24,CA
saint-augustin,51.23,-58.65,61.02,79,10,15.77,CA
grand gaube,-20.01,57.66,68.0,78,25,3.0,MU
shugurovo,54.51,52.13,56.21,85,80,10.69,RU
kysyl-syr,63.9,122.76,55.4,48,4,9.95,RU
mount gambier,-37.83,140.77,59.0,82,75,12.75,AU
high prairie,55.43,-116.49,54.36,84,53,8.7,CA
tual,-5.67,132.75,79.45,85,46,15.86,ID
havre de grace,39.55,-76.09,77.0,88,90,9.17,US
chacabuco,-34.64,-60.47,44.01,53,0,1.99,AR
karlstad,59.38,13.5,59.0,87,91,3.36,SE
goiatuba,-18.01,-49.35,70.12,42,0,9.53,BR
kirkenaer,60.46,12.06,60.8,93,79,1.92,NO
prince rupert,54.32,-130.32,59.0,77,90,5.82,CA
mitu,1.2,-70.17,73.35,97,30,1.81,CO
cap malheureux,-19.98,57.61,68.0,78,29,3.0,MU
jalapa,19.53,-96.92,62.94,92,100,1.7,MX
middlebury,44.02,-73.17,70.0,76,28,2.66,US
nha trang,12.25,109.18,89.6,70,20,5.82,VN
matagami,49.75,-77.63,55.4,82,1,4.43,CA
sakata,38.92,139.85,84.2,79,75,16.11,JP
huron,41.15,-82.55,73.99,79,37,5.66,US
paita,-5.09,-81.11,62.83,87,52,10.83,PE
brae,60.4,-1.35,54.63,87,69,7.45,GB
okhotsk,59.38,143.3,67.48,52,18,4.72,RU
geraldton,-28.77,114.6,64.4,68,28,12.75,AU
mackenzie,55.3,-123.17,59.0,54,75,9.17,CA
omboue,-1.57,9.26,73.63,87,100,8.86,GA
blackwater,-23.58,148.88,80.83,34,3,11.48,AU
taksimo,56.34,114.88,69.48,60,100,1.72,RU
port augusta,-32.5,137.77,60.8,67,40,10.29,AU
the valley,18.22,-63.06,84.2,74,40,9.17,AI
amahai,-3.33,128.92,80.06,75,96,5.48,ID
banda aceh,5.56,95.32,85.66,58,92,4.25,ID
keti bandar,24.14,67.45,85.23,79,100,15.23,PK
aasiaat,68.71,-52.87,39.18,84,100,2.48,GL
santa cruz,-17.8,-63.17,64.4,93,0,5.82,BO
qandala,11.47,49.87,87.22,56,100,0.96,SO
calatayud,41.35,-1.64,69.8,88,75,3.36,ES
zhuzhou,27.83,113.15,91.4,59,20,11.18,CN
pombia,45.65,8.63,75.0,83,20,4.7,IT
yatou,37.15,122.38,83.37,85,95,9.55,CN
muleba,-1.84,31.65,66.09,81,100,5.64,TZ
bulungu,-4.55,18.6,78.75,57,54,2.37,CD
udachnyy,66.42,112.4,46.4,61,75,6.71,RU
lokoja,7.8,6.74,72.64,93,100,5.21,NG
san carlos,9.66,-68.58,74.52,93,85,2.84,VE
duverge,18.38,-71.52,78.3,75,25,2.17,DO
leiyang,26.4,112.86,92.86,49,16,10.25,CN
talnakh,69.49,88.4,73.4,49,30,15.66,RU
tessalit,20.2,1.01,91.45,41,88,6.67,ML
sao joao batista,-27.28,-48.85,68.0,97,95,0.72,BR
demba,-5.51,22.27,69.76,67,74,2.35,CD
saint anthony,45.02,-93.22,81.0,78,1,8.05,US
blagoyevo,63.37,47.92,44.94,89,45,2.24,RU
huambo,-12.78,15.74,51.39,43,0,1.66,AO
tongliao,43.61,122.27,83.16,46,0,20.45,CN
noumea,-22.28,166.46,75.2,50,8,16.11,NC
paramirim,-13.44,-42.24,67.46,77,61,5.41,BR
